SMILES,MolWt,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,349.412,0.3486,3,5,112.73,4,0,24,0.4375
CC(CC1=C2C3=C(C(=C(C4=C3C5=C6C2=C(C(=O)C=C6OCOC5=CC4=O)C(=C1OC)O)O)OC)CC(C)O)O,534.517,2.8991,4,10,151.98,6,5,39,0.310344828
C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,453.458,-0.5448,4,10,184.51,8,1,30,0.25
CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O,459.558,4.8807,3,5,99.88,11,2,33,0.461538462
CC=CCC=CCCC(=O)C(CC(=O)N)O,225.288,1.0944,2,3,80.39,8,0,16,0.5
C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,388.895,3.1482,1,4,53.01,8,2,27,0.380952381
CCOC(=O)OCCC(=C(C)N(CC1=CN=C(N=C1N)C)C=O)SC(=O)OCC,426.495,3.01002,1,10,133.94,10,1,29,0.5
C1CC(CCC1CN)C(=O)OC2=CC=C(C=C2)CCC(=O)O,305.374,2.3743,2,4,89.62,6,1,22,0.529411765
CCCCCCCCCCCCCCCC[N+](C)(C)C,284.552,6.1739,0,0,0,15,0,20,1
CCCCCCCCCCCCCCCCO,242.447,5.46,1,1,20.23,14,0,17,1
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,304.542,6.4554,0,0,3.88,15,1,22,0.761904762
CC1OC2(CN3CCC2CC3)CS1,199.319,1.5602,0,3,12.47,0,0,13,1
CN1C=C(N=C1C2=CC=C(C=C2)OCC(CNCCOC3=CC(=C(C=C3)O)C(=O)N)O)C(F)(F)F,494.47,2.3187,4,7,131.86,11,3,35,0.304347826
CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2CCCCC2)NC(=O)C(C(C)C)NC(=O)C)O)NC(=O)C,573.779,2.3097,5,6,139.87,15,1,41,0.677419355
CC(C)(C)NCC(COC1=CC=CC2=C1NC(=O)N2)O,279.34,0.984,4,4,90.14,5,2,20,0.5
C1C(=O)NC2=C(C=C(C=C2)Cl)C(S1)C3=CC=CC=C3Cl,324.232,4.7681,1,2,29.1,1,2,20,0.133333333
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)C(F)(F)F)N4C2=CC=C4,334.345,3.2581,0,3,23.78,1,3,24,0.352941176
C1=COC(=C1)C2=NN3C(=N2)C4=C(C=CC(=C4)Cl)N=C3N,285.694,2.7731,1,5,82.24,1,4,20,0
CCNC(=O)C1C(C(C(O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O,499.528,-0.1644,6,10,197.74,10,3,36,0.434782609
C1CCC(CC1)NC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O,349.391,0.1824,4,8,125.55,4,2,25,0.6875
CN1C(=O)C2(N(C(=O)C1(SS2)CC3=CN(C4=CC=CC=C43)C56CC78C(=O)N(C(C(=O)N7C5NC9=CC=CC=C69)(SS8)CO)C)C)CO,710.885,1.8735,3,11,138.66,5,3,47,0.419354839
CC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CCCCCC(=O)NO,529.638,0.8,5,6,156.94,9,1,38,0.592592593
CCC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=C(C=C3)OC)CCCCCC(=O)NO,573.691,1.1987,5,7,166.17,11,1,41,0.620689655
CC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CCCCNC(=O)C,513.639,0.6505,4,5,136.71,8,1,37,0.592592593
CC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CCCCCC(=O)O,514.623,1.3792,4,5,144.91,9,1,37,0.592592593
CC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CCCCCCC(=O)NO,543.665,1.1901,5,6,156.94,10,1,39,0.607142857
CC(C)C1C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)N1)CC3=CC=CC=C3)CCCCC(=O)NO,515.611,0.4099,5,6,156.94,8,1,37,0.576923077
CCOC(=O)CCCCCCCCCCCCC1CCC=C1,308.506,6.1969,0,2,26.3,14,0,22,0.85
COC1=C(C2=CC(=C3C(=C2C=C1)C=CC4=CC5=C(C=C43)OCO5)[NH3+])OC,348.378,3.7655,1,4,64.56,2,4,26,0.142857143
COC1=C(C2=CC(=C3C(=C2C=C1)C=CC4=CC5=C(C=C43)OCO5)N)OC,347.37,4.4743,1,5,62.94,2,4,26,0.142857143
C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,348.378,3.7166,0,4,40.8,2,4,26,0.19047619
CC1(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)N1)CCCCCC(=O)C3CO3)CC4=CC=CC=C4)C,526.634,1.0165,3,6,137.21,9,1,38,0.607142857
C(C(Cl)(Cl)Cl)(O)O,165.403,0.6673,2,2,40.46,0,0,7,1
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,304.217,3.3779,1,2,40.54,9,1,19,0.5
C1=CC(=CC=C1C(C(COC(=O)CCC(=O)O)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],423.205,1.3247,3,7,156.07,10,1,27,0.4
CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,300.833,3.6768,0,2,6.48,3,2,21,0.333333333
C1C2C(C(C1Cl)Cl)C3(C(C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,411.798,5.2084,0,0,0,0,0,18,1
CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C,404.934,4.7517,0,4,60.44,2,0,28,0.695652174
COC(CNC(=[OH+])N)C[Hg]Cl,368.206,-0.3358,2,1,68.68,5,0,11,0.8
COC(CNC(=O)N)C[Hg]Cl,367.198,0.3243,2,2,64.35,5,0,11,0.8
CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,273.741,1.6155,0,3,54.45,1,1,17,0.363636364
CC(=O)OC1=C2C(=C(C=C1)Cl)C=CC=N2,221.643,2.8135,0,3,39.19,1,2,15,0.090909091
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,319.88,4.8106,1,3,28.16,8,2,22,0.5
C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,295.729,0.1299,2,5,118.69,1,1,17,0
COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC(=CC=C3)OC,380.871,5.8678,0,3,27.69,6,3,27,0.130434783
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,214.051,3.2472,1,2,33.12,0,2,13,0
CC1=CC(=CC(=C1Cl)C)O,156.612,2.66244,1,1,20.23,0,1,10,0.25
C1=CC(=CC=C1OCC(COC(=O)N)O)Cl,245.662,1.175,2,4,81.78,5,1,16,0.3
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,274.795,3.8186,0,2,16.13,5,2,19,0.3125
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.873,4.8944,0,3,6.48,4,2,21,0.294117647
CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,276.745,1.7379,2,3,75.27,4,1,17,0.3
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,213.664,3.2969,1,2,38.33,2,1,14,0.3
CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,315.869,5.188,0,2,3.24,3,2,21,0.222222222
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,350.591,4.7181,0,5,40.58,6,1,18,0.444444444
CC1(C2CC3C(C(=O)C(=C(N)O)C(=O)C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)N(C)C)O,478.885,0.2824,6,10,181.62,1,1,33,0.409090909
C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,338.772,0.9242,3,4,109.49,2,2,22,0.071428571
C1=CC2=C(C=C1Cl)NC(=O)O2,169.567,1.7745,1,2,46,0,2,11,0
C1=C2C(=CC(=C1Cl)O)OC(=O)N2,185.566,1.4801,2,3,66.23,0,2,12,0
CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,384.648,7.619,1,1,20.23,6,0,28,0.777777778
CCCCCCCCCCCCCCCCC1(C=CC(OO1)CC(=O)OC)OC,412.611,6.6502,0,5,53.99,18,0,29,0.875
CC1CC2CC=CC=CCCC=CC=CC(=O)NC(C(=O)OC(C(C(CC=C(C(C(C=C(C(C(C(CC(C1)O2)O)C)O)C)C)O)C)OC(=O)CC(C(=O)O)O)C)C(C(C)O)NC(=O)C(C)C(CCC(C)C(C(=CC(C)C(C(C(C(C)C)O)NC(=O)C=CC(C)(C)C(=O)C(C)C(C(C)(C)C(=O)OC)O)O)C)O)O)C(C(=O)O)O,1588.972,5.2646,16,24,489.63,29,0,112,0.698795181
CC1CC2CC=CC=CCCC=CC=CC(=O)NC(C(=O)OC(C(C(CC=C(C(C(C=C(C(C(C(CC(C1)O2)O)C)O)C)C)O)C)O)C)C(C(C)O)NC(=O)C(C)C(CCC(C)C(C(=CC(C)C(C(C(C(C)C)O)NC(=O)C=CC(C)(C)C(=O)C(C)C(C(C)(C)C(=O)OC)O)O)C)O)O)C(C(=O)O)O,1472.9,5.8781,15,21,426.03,25,0,104,0.708860759
CC1CC2CC=CC=CCCC=CC=CC(=O)NC(C(=O)OC(C(C(CC=C(C(C(C=C(C(C(C(CC(C1)O2)O)C)O)C)C)O)C)OC(=O)CC(C(=O)O)O)C)C(C(C)O)NC(=O)C(C)C(CCC(C)C(C(=CC(C)C(C(CC(C)C)NC(=O)C=CC(C)(C)C(=O)C(C)C(C(C)C)O)O)C)O)O)C(C(=O)O)O,1514.937,6.7506,15,21,443.1,28,0,107,0.703703704
CC1CC2CC=CC=CCCC=CC=CC(=O)NC(C(=O)OC(C(C(C(C(CC=C(C(C(C=C(C(C(C(CC(C1)O2)O)C)O)C)C)O)C)OC(=O)CC(C(=O)O)O)C)O)NC(=O)C(C)C(CCC(C)C(C(=CC(C)C(C(C(C(C)C)O)NC(=O)C=CC(C)(C)C(=O)C(C)C(C(C)(C)C(=O)OC)O)O)C)O)O)C)C(C(=O)O)O,1588.972,5.2646,16,24,489.63,27,0,112,0.698795181
C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,190.154,1.4912,1,3,67.51,1,2,14,0
CC1C(C(COC1C2COC(C(C2O)C)OC3C(CC4=C(C3=O)C(=C5C(=C4)C=C(C(=C5O)C)OC6CC(C(C(O6)C)OC(=O)C)OC7CC(C(C(O7)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O,1167.258,1.53492,8,25,350.11,17,2,82,0.754385965
CC(=CC1C(C1(C)C)C(=O)O)C,168.236,2.3094,1,1,37.3,2,0,12,0.7
C1=CC=C(C=C1)C2=CC(=C3C(=CC(=O)C=C3O2)O)O,254.241,2.8228,2,4,70.67,1,1,19,0
CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(C2CCN=C(N2)N)NC(=O)NC(CC3=CC=CC=C3)C(=O)O,623.711,0.3697,8,8,224.34,15,2,45,0.419354839
CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,269.304,2.4795,3,3,84.22,3,2,20,0.066666667
C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,262.356,2.9943,1,2,24.39,3,2,20,0.277777778
CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,341.433,0.2797,3,5,112.73,3,0,23,0.8
CC1=CC(=O)N(C(=C1)C2CCCCC2)O,207.273,2.44172,1,2,42.23,1,1,15,0.583333333
CC1(CCCCC1)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,333.453,3.9299,1,4,55.4,5,1,23,0.555555556
CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O,417.506,1.5955,2,6,99.18,8,1,30,0.590909091
CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,492.528,4.2758,1,8,117,10,2,36,0.259259259
CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,342.439,3.4782,1,3,62.4,6,2,25,0.5
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,369.469,3.4647,1,5,81.93,7,2,27,0.6
CC(C)NCC(C1=CC(=C(C=C1)N)C#N)O,219.288,1.17188,3,4,82.07,4,1,16,0.416666667
CC1=C(N=CN1)CSCCNC(=NC)NC#N,252.347,0.5974,3,4,88.89,5,1,17,0.5
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,294.398,3.1646,1,3,36.36,3,2,22,0.421052632
CC1(C2CCC(O1)(CC2)C)C,154.253,2.7441,0,1,9.23,0,0,11,1
COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCN(CC2)CC(=O)N3CCCC3,417.506,1.4922,0,6,71.55,7,1,30,0.545454545
C1CN(CCN1C=CCC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,368.524,5.15,0,2,6.48,6,3,28,0.230769231
C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,368.524,5.107,0,2,6.48,6,3,28,0.230769231
CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,262.221,0.8433,1,5,90.65,2,2,19,0.25
CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,289.158,3.5898,1,2,46.53,4,1,18,0.461538462
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.347,1.5833,2,4,74.57,3,2,24,0.411764706
C1CC1C2=CC=CC=C2OCC3=NCCN3,216.284,1.9445,1,3,33.62,4,1,16,0.461538462
Cl[Pt+2]Cl,265.984,1.3765,0,0,0,0,0,3,0
COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.953,3.3581,2,6,86.05,9,2,32,0.434782609
Cl[Pt]Cl,265.984,1.3765,0,0,0,0,0,3,0
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.399,3.81298,0,3,36.26,5,2,24,0.35
C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OCC1(COC(C1O)N2C=CC(=NC2=O)N)O,489.335,-1.5969,5,11,212.89,10,1,31,0.714285714
CC(=O)NC1C(=O)CCS1,159.21,0.1546,1,3,46.17,1,0,10,0.666666667
CC1C(OC=C2C1=C(C(=O)C(=C(O)O)C2=O)C)C,250.25,1.721,2,5,83.83,0,0,18,0.384615385
COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,206.197,1.8102,0,4,48.67,2,2,15,0.181818182
CC#CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,381.233,4.0977,2,4,66.91,3,3,24,0.055555556
C1COCCN1CCCCNC(=O)C2=CC3=CC=CC=C3O2,302.374,2.275,1,4,54.71,6,2,22,0.470588235
CC1CC(C(C(O1)OC2CC(C(C(=O)OC(C(C(C(C(=O)C(CC2(C)OC)C)C)O)(C)O)C)C)OC3CC(C(C(O3)C)O)OC)O)N(C)C,705.883,1.4135,4,14,182.91,7,0,49,0.942857143
CC1C2C(C(=O)O2)(NC1=O)C(C(C)C)O,213.233,-0.5666,2,4,75.63,2,0,15,0.8
COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N,373.884,3.3252,2,4,67.59,5,2,26,0.35
CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C,343.898,5.1044,0,2,12.47,6,2,24,0.428571429
C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl,325.843,4.3338,0,2,21.06,4,3,23,0.315789474
CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,277.195,2.9971,3,3,58.28,3,1,17,0.5
C[N+]12CCC(CC1)C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,352.454,2.7045,1,3,46.53,4,2,26,0.409090909
CN(C)C(=O)C(CC1=CC=CC=C1)NC(=O)C(=O)CC(=O)NCCC2=CC=CC=N2,410.474,0.5152,2,5,108.47,10,2,30,0.318181818
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,424.991,0.3895,4,7,102.26,7,0,27,0.944444444
CCC(C)(C(=O)O)OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)OC(C)(CC)C(=O)O,468.59,6.201,2,4,93.06,10,2,34,0.5
C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,305.502,3.1984,1,2,33.12,0,2,13,0
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,308.838,3.2438,2,3,67.06,6,2,20,0.285714286
CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,466.977,4.1031,1,5,80.67,4,0,32,0.72
CCCC(=O)OC1(C(CC2C1(CC(=O)C3(C2CCC4=CC(=O)C=CC43C)F)C)C)C(=O)CCl,478.988,4.7014,0,5,77.51,5,0,33,0.692307692
C1CCN(CC1)C2(CCN(CC2)CCCN3C4=CC=CC=C4CCC5=C3C=C(C=C5)Cl)C(=O)N,481.084,4.7726,1,4,52.81,6,2,34,0.535714286
CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,473.407,7.4898,1,3,42.21,4,3,33,0.111111111
CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O,289.806,3.5276,1,2,23.47,5,2,20,0.294117647
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,242.702,3.0605,0,3,35.53,4,1,16,0.416666667
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,214.648,2.582,1,2,46.53,3,1,14,0.3
CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl,338.987,6.4897,0,0,0,13,1,23,0.714285714
CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,365.344,7.0036,1,1,20.23,4,2,24,0.428571429
CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,405.969,6.5626,0,2,12.47,9,3,29,0.230769231
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.86,4.5284,0,2,6.48,4,2,22,0.368421053
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,315.716,3.0377,1,4,84.6,2,2,22,0.066666667
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,230.098,2.3645,2,3,36.42,1,1,14,0.222222222
CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,345.852,1.8951,2,4,92.5,3,1,22,0.5
C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,329.871,4.9319,0,2,12.47,6,2,23,0.4
COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,321.829,3.6739,0,4,29.54,3,2,21,0.3125
C1C(C(C(C1O)C=CC(COC2=CC(=CC=C2)Cl)O)CC=CCCCC(=O)O)O,424.921,3.195,4,5,107.22,11,1,29,0.5
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,314.728,2.5827,2,3,78.76,2,2,22,0.0625
CC(C)NCC(C1=CC=CC=C1Cl)O,213.708,2.3714,2,2,32.26,4,1,14,0.454545455
CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C,318.829,3.7777,0,3,32.67,2,2,21,0.25
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,344.845,5.3767,0,1,17.82,4,4,25,0.045454545
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-],434.881,1.21402,1,7,115.57,4,2,29,0.368421053
C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,349.217,3.4788,1,3,41.57,1,2,23,0.235294118
C1=CC2=C(C=CC(=C2N=C1)O)Cl,179.606,2.5938,1,2,33.12,0,2,12,0
CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,326.831,2.0299,1,4,30.87,1,2,23,0.277777778
C[N+]1(CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl)[O-],342.83,2.0425,1,4,50.69,1,2,24,0.277777778
C1CN(CCN1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,312.804,1.6877,2,4,39.66,1,2,22,0.235294118
C1=C(C(=CC2=C1N=C(C(=N2)[O-])[O-])[N+](=O)[O-])C#N.[Na+].[Na+],276.119,-6.43512,0,7,138.83,1,2,19,0
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSCC(=O)NCCC4=CNC5=CC=CC=C54)O,967.782,-0.0217,11,18,391.45,24,4,63,0.515151515
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5=NC4=C(C6=NC(=CC7=NC(=C(C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)C)C(C7CCC(=O)N)(C)CC(=O)N)C(C6CCC(=O)N)(C)C)C)CC(=O)N)C)O.[Co],1329.37,3.64354,10,18,460.35,26,2,91,0.612903226
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5=NC4=C(C6=NC(=CC7=NC(=C(C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)C)C(C7CCC(=O)N)(C)CC(=O)N)C(C6CCC(=O)N)(C)C)C)CC(=O)N)C)O,1270.437,3.64604,10,18,460.35,26,2,90,0.612903226
CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,317.385,2.2578,0,5,55.84,4,1,23,0.555555556
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,303.358,1.8677,0,5,55.84,3,1,22,0.529411765
CC(=CCC1=CC2=C(C=C1)NC=C2C3=C(C(=O)C(=C(C3=O)O)C4=CNC5=C4C=C(C=C5)CC=C(C)C)O)C,506.602,7.0568,4,4,106.18,6,4,38,0.1875
CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,299.37,1.5011,1,4,41.93,1,1,22,0.555555556
C1=CC=C(C=C1)CC2=NC(=CN3C2=NC(C3=O)(CC4=CC=C(C=C4)O)O)C5=CC=C(C=C5)O,439.471,3.2655,3,6,105.72,5,3,33,0.115384615
C1=CC=C(C=C1)CC2=C3N=C(C(=O)N3C=C(N2)C4=CC=C(C=C4)O)CC5=CC=C(C=C5)O,423.472,4.2582,3,4,91.14,5,3,32,0.076923077
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5=NC4=C(C6=NC(=CC7=NC(=C(C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)C)C(C7CCC(=O)N)(C)CC(=O)N)C(C6CCC(=O)N)(C)C)C)CC(=O)N)C)O.[C-]#N.[Co],1355.388,3.73991,10,19,484.14,26,2,93,0.603174603
CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,371.433,2.9549,1,6,66.02,5,2,27,0.380952381
CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.443,2.8716,1,6,83.09,5,2,29,0.363636364
CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)OC(=O)CCN(C)C,509.64,2.0225,2,9,122.6,6,0,36,0.814814815
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)N1)CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)CC,1620.87,-10.1635,18,33,706.71,43,0,106,0.807017544
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)N1)CCNCS(=O)(=O)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)O)NC(=O)CCCCC(C)C)C(C)O)CCNCS(=O)(=O)O)CCNCS(=O)(=O)O)C(C)CC,1625.91,-8.4505,23,28,692.56,43,0,106,0.807017544
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C43)CC(=O)OC)CCCCCC(=O)CC,651.805,3.3116,3,7,155.91,12,2,47,0.6
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C43)CC)CCCCCC(=O)CC,607.796,4.1585,3,5,129.61,11,2,44,0.617647059
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C4C3=O)OC)CCCCCC(=O)CC,637.778,2.5572,3,7,155.91,11,2,46,0.588235294
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C4C3=O)CC)CCCCCC(=O)CC,635.806,3.5187,3,6,146.68,11,2,46,0.6
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)OC,611.74,2.3909,3,7,148.07,10,2,44,0.59375
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)O,597.713,2.3025,4,6,159.07,10,2,43,0.580645161
CCC(C)C1C(=O)N2CCCCC2C(=O)NC(C(=O)NC(C(=O)N1)C3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)C(C)F,627.758,3.145,3,6,138.84,11,2,45,0.606060606
