SMILES,MolWt,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FractionCSP3
CC1C2=C(C(=C)C(N2)(CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)C)CCC(=O)O,880.989,5.7143,8,11,310.21,18,0,63,0.644444444
CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)(C)C)CCC(=O)O,883.005,6.0077,7,11,310.54,18,0,63,0.711111111
CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O,881.037,4.8091,7,11,322.12,18,0,63,0.711111111
CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O.[Co],939.97,4.8066,7,11,322.12,18,0,64,0.711111111
C(#N)O,43.025,-0.16002,1,2,44.02,0,0,3,0
C1=CC(=CC=C1C=O)[N+](=O)[O-],151.121,1.4073,0,3,60.21,2,1,11,0
C1=CC(=O)OC1CC(=O)O,142.11,-0.0573,1,3,63.6,2,0,10,0.333333333
C1=CC(OC1=O)(CC(=O)O)C(=O)O,186.119,-0.6025,2,4,100.9,3,0,13,0.285714286
[O-][As]([O-])[O-],122.919,-3.9478,0,3,69.18,0,0,4,0
O[As](O)O,125.943,-2.0518,3,3,60.69,0,0,4,0
C(C(=O)O)P(=O)(O)O,140.031,-0.7513,3,2,94.83,2,0,8,0.5
C1=CC(=C(C=C1CC(=O)O)O)O,168.148,0.7249,3,3,77.76,2,1,12,0.125
C(C(=CO)C=CC(=O)C(=O)O)C(=O)O,200.146,0.1129,3,4,111.9,5,0,14,0.125
C(C(=C(O)O)C=CC(=O)C(=O)O)C(=O)O,216.145,-0.0014,4,5,132.13,5,0,15,0.125
C(C(C=CC(=O)C(=O)O)C(=O)O)C(=O)O,216.145,-0.6282,3,4,128.97,6,0,15,0.25
C(C=CC=C(C(=O)O)O)C(=O)O,172.136,0.5438,3,3,94.83,4,0,12,0.142857143
C1C(NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)CC(C(C(COC4C(C(C(O4)COP(=O)(O)OC(CCC(=O)O)(C=O)NC(CC(=O)O)C=O)O)O)O)O)O,847.725,-3.7159,14,21,404,24,2,58,0.5625
C(CC(=O)O)C(CC(=O)C(=O)O)O,190.151,-0.7441,3,4,111.9,6,0,13,0.571428571
C[N+]1(CCCC1C(=O)[O-])C,143.186,-1.0249,0,2,40.13,1,0,10,0.857142857
C(CC(C(=O)O)NC(=O)CCC(=O)O)C=O,231.204,-0.6003,3,4,120.77,8,0,16,0.555555556
CN1CCCC1C(=O)O,129.159,0.1652,1,2,40.54,1,0,9,0.833333333
C(CC(=O)C(=O)O)CN=C(N)N,173.172,-1.3063,3,3,118.77,5,0,12,0.5
C(CC=O)CN=C(N)N,129.163,-0.7611,2,2,81.47,4,0,9,0.6
C(C(C(C(=O)CO)O)O)C(=O)O,178.14,-2.2557,4,5,115.06,5,0,12,0.666666667
CSCCC(=O)C(=O)COP(=O)(O)O,242.189,-0.013,2,5,100.9,7,0,14,0.666666667
CSCCC(=O)C(=CO)O,162.21,1.266,2,4,57.53,4,0,10,0.5
CSCCC(=O)O,120.173,0.8241,1,2,37.3,3,0,7,0.75
CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)CC(C(C(COC4C(C(C(O4)COP(=O)(O)OC(CCC(=O)O)(C=O)NC(CC(=O)O)C=O)O)O)O)O)O,861.752,-3.6916,13,21,395.21,24,2,59,0.575757576
CC(=O)O.C1=CC=C(C=C1)[Hg],337.748,0.9496,1,1,37.3,0,1,11,0.125
C1=CC=C(C=C1)[Hg],277.696,0.8587,0,0,0,0,1,7,0
C1=CC=C2C(=C1)C3=CC=CC=C3O2,168.195,3.586,0,1,13.14,0,3,13,0
C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O,202.209,2.4704,3,3,60.69,1,2,15,0
C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O,218.208,1.7954,2,3,74.6,4,1,16,0
C(CN(C=O)O)CP(=O)(O)O,183.1,-0.5982,3,3,98.07,5,0,11,0.75
